date,obs_point,head,hour
2012-07-24,MEL_1,15.63,00:00:00
2012-07-24,OOST_16,12.33,00:00:00
2012-07-24,OOST_17,12.2,00:00:00
2012-07-25,MEL_1,15.93,00:00:00
2012-07-25,OOST_16,13.07,00:00:00
2012-07-25,OOST_17,12.87,00:00:00
2012-07-28,MEL_1,15.68,00:00:00
2012-07-28,OOST_16,12.7,00:00:00
2012-07-28,OOST_17,12.5,00:00:00
2012-08-01,MEL_1,15.52,00:00:00
2012-08-01,OOST_16,12.31,00:00:00
2012-08-01,OOST_17,12.22,00:00:00
2012-08-02,MEL_1,15.74,00:00:00
2012-08-02,OOST_16,13.01,00:00:00
2012-08-02,OOST_17,12.82,00:00:00
2012-08-03,MEL_1,15.73,00:00:00
2012-08-03,OOST_16,12.45,00:00:00
2012-08-03,OOST_17,12.27,00:00:00
2012-08-06,MEL_1,16.38,00:00:00
2012-08-06,OOST_16,13.21,00:00:00
2012-08-06,OOST_17,13.04,00:00:00
2012-08-09,MEL_1,15.63,00:00:00
2012-08-09,OOST_16,12.72,00:00:00
2012-08-09,OOST_17,12.48,00:00:00
2012-08-11,MEL_1,15.73,00:00:00
2012-08-11,OOST_16,12.684999999999999,00:00:00
2012-08-11,OOST_17,12.440000000000001,00:00:00
2012-08-15,MEL_1,15.74,00:00:00
2012-08-15,OOST_16,12.83,00:00:00
2012-08-15,OOST_17,12.6,00:00:00
2012-08-16,MEL_1,15.9,00:00:00
2012-08-16,OOST_16,13.32,00:00:00
2012-08-16,OOST_17,13.415,00:00:00
2012-08-25,MEL_1,15.645,00:00:00
2012-08-25,OOST_16,12.585,00:00:00
2012-08-25,OOST_17,12.379999999999999,00:00:00
2012-08-26,MEL_1,16.38,00:00:00
2012-08-26,OOST_16,13.41,00:00:00
2012-08-26,OOST_17,13.2,00:00:00
2012-08-27,MEL_1,16.71,00:00:00
2012-08-27,OOST_16,13.5,00:00:00
2012-08-27,OOST_17,13.44,00:00:00
2012-08-28,MEL_1,15.97,00:00:00
2012-08-28,OOST_16,12.629999999999999,00:00:00
2012-08-28,OOST_17,12.66,00:00:00
2012-08-30,MEL_1,15.79,00:00:00
2012-08-30,OOST_16,13.31,00:00:00
2012-08-30,OOST_17,13.21,00:00:00
2012-09-05,MEL_1,15.93,00:00:00
2012-09-05,OOST_16,13.05,00:00:00
2012-09-05,OOST_17,12.8,00:00:00
2012-09-06,MEL_1,15.43,00:00:00
2012-09-06,OOST_16,12.31,00:00:00
2012-09-06,OOST_17,12.22,00:00:00
2012-09-08,MEL_1,15.92,00:00:00
2012-09-09,MEL_1,16.19,00:00:00
2012-09-09,OOST_16,13.19,00:00:00
2012-09-09,OOST_17,12.97,00:00:00
2012-09-10,MEL_1,16.21,00:00:00
2012-09-10,OOST_16,13.28,00:00:00
2012-09-10,OOST_17,13.26,00:00:00
2012-09-11,MEL_1,15.8,00:00:00
2012-09-11,OOST_16,12.8,00:00:00
2012-09-11,OOST_17,12.545,00:00:00
2012-09-13,MEL_1,15.6,00:00:00
2012-09-13,OOST_16,12.8,00:00:00
2012-09-13,OOST_17,12.6,00:00:00
2012-09-15,MEL_1,15.48,00:00:00
2012-09-15,OOST_16,12.72,00:00:00
2012-09-15,OOST_17,12.46,00:00:00
2012-09-20,MEL_1,15.33,00:00:00
2012-09-22,MEL_1,15.76,00:00:00
2012-09-22,OOST_16,12.58,00:00:00
2012-09-22,OOST_17,12.35,00:00:00
2012-09-23,MEL_1,16.18,00:00:00
2012-09-23,OOST_16,13.31,00:00:00
2012-09-23,OOST_17,13.1,00:00:00
2012-09-24,MEL_1,16.01,00:00:00
2012-09-24,OOST_16,12.97,00:00:00
2012-09-24,OOST_17,12.83,00:00:00
2012-09-25,MEL_1,15.66,00:00:00
2012-09-25,OOST_16,12.75,00:00:00
2012-09-25,OOST_17,12.55,00:00:00
2012-09-27,MEL_1,15.65,00:00:00
2012-09-27,OOST_16,13.01,00:00:00
2012-09-27,OOST_17,12.85,00:00:00
2012-09-29,MEL_1,15.39,00:00:00
2012-09-29,OOST_16,12.62,00:00:00
2012-09-29,OOST_17,12.27,00:00:00
2012-10-03,MEL_1,16.49,00:00:00
2012-10-03,OOST_16,13.49,00:00:00
2012-10-03,OOST_17,13.3,00:00:00
2012-10-04,MEL_1,15.25,00:00:00
2012-10-07,MEL_1,16.59,00:00:00
2012-10-07,OOST_16,13.52,00:00:00
2012-10-07,OOST_17,13.3,00:00:00
2012-10-09,MEL_1,16.03,00:00:00
2012-10-09,OOST_16,13.38,00:00:00
2012-10-09,OOST_17,13.37,00:00:00
2012-10-10,MEL_1,15.73,00:00:00
2012-10-10,OOST_16,13.01,00:00:00
2012-10-10,OOST_17,12.77,00:00:00
2012-10-11,MEL_1,15.55,00:00:00
2012-10-11,OOST_16,12.88,00:00:00
2012-10-11,OOST_17,12.66,00:00:00
2012-10-12,MEL_1,15.43,00:00:00
2012-10-12,OOST_16,12.92,00:00:00
2012-10-12,OOST_17,12.63,00:00:00
2012-10-13,MEL_1,15.98,00:00:00
2012-10-13,OOST_16,13.18,00:00:00
2012-10-13,OOST_17,12.91,00:00:00
2012-10-17,MEL_1,16.29,00:00:00
2012-10-17,OOST_16,13.44,00:00:00
2012-10-17,OOST_17,13.19,00:00:00
2012-10-18,MEL_1,15.58,00:00:00
2012-10-18,OOST_16,12.78,00:00:00
2012-10-18,OOST_17,12.4,00:00:00
2012-10-21,MEL_1,16.53,00:00:00
2012-10-21,OOST_16,13.54,00:00:00
2012-10-21,OOST_17,13.35,00:00:00
2012-10-22,MEL_1,16.03,00:00:00
2012-10-22,OOST_16,13.47,00:00:00
2012-10-22,OOST_17,13.43,00:00:00
2012-10-23,MEL_1,15.69,00:00:00
2012-10-23,OOST_16,13.24,00:00:00
2012-10-23,OOST_17,13.1,00:00:00
2012-10-25,MEL_1,15.63,00:00:00
2012-10-25,OOST_16,13.21,00:00:00
2012-10-25,OOST_17,13.05,00:00:00
2012-10-26,MEL_1,15.51,00:00:00
2012-10-26,OOST_16,13.05,00:00:00
2012-10-26,OOST_17,12.72,00:00:00
2012-10-27,MEL_1,16.03,00:00:00
2012-10-27,OOST_16,13.4,00:00:00
2012-10-27,OOST_17,13.15,00:00:00
2012-10-29,MEL_1,15.62,00:00:00
2012-11-04,MEL_1,16.62,00:00:00
2012-11-04,OOST_16,13.52,00:00:00
2012-11-04,OOST_17,13.3,00:00:00
2012-11-05,MEL_1,16.19,00:00:00
2012-11-05,OOST_16,13.56,00:00:00
2012-11-05,OOST_17,13.45,00:00:00
2012-11-07,MEL_1,16.13,00:00:00
2012-11-07,OOST_16,13.44,00:00:00
2012-11-07,OOST_17,13.23,00:00:00
2012-11-11,MEL_1,16.83,00:00:00
2012-11-11,OOST_16,13.6,00:00:00
2012-11-11,OOST_17,13.45,00:00:00
2012-11-13,MEL_1,15.85,00:00:00
2012-11-13,OOST_16,13.42,00:00:00
2012-11-13,OOST_17,13.28,00:00:00
2012-11-15,MEL_1,15.75,00:00:00
2012-11-15,OOST_16,13.18,00:00:00
2012-11-15,OOST_17,12.85,00:00:00
2012-11-16,MEL_1,15.77,00:00:00
2012-11-16,OOST_16,13.44,00:00:00
2012-11-16,OOST_17,13.33,00:00:00
2012-11-21,MEL_1,16.31,00:00:00
2012-11-21,OOST_16,13.45,00:00:00
2012-11-21,OOST_17,13.31,00:00:00
2012-11-23,MEL_1,15.68,00:00:00
2012-11-23,OOST_16,13.41,00:00:00
2012-11-23,OOST_17,13.26,00:00:00
2012-11-25,MEL_1,16.95,00:00:00
2012-11-25,OOST_16,13.6,00:00:00
2012-11-25,OOST_17,13.44,00:00:00
2012-11-27,MEL_1,16.55,00:00:00
2012-11-27,OOST_16,13.585,00:00:00
2012-11-27,OOST_17,13.465,00:00:00
2012-11-29,MEL_1,15.94,00:00:00
2012-11-29,OOST_16,13.53,00:00:00
2012-11-29,OOST_17,13.45,00:00:00
2012-12-06,MEL_1,16.38,00:00:00
2012-12-06,OOST_16,13.54,00:00:00
2012-12-06,OOST_17,13.42,00:00:00
2012-12-08,MEL_1,16.96,00:00:00
2012-12-08,OOST_16,13.57,00:00:00
2012-12-08,OOST_17,13.4,00:00:00
2012-12-09,MEL_1,17.21,00:00:00
2012-12-09,OOST_16,13.6,00:00:00
2012-12-09,OOST_17,13.43,00:00:00
2012-12-10,MEL_1,17.2,00:00:00
2012-12-10,OOST_16,13.6,00:00:00
2012-12-10,OOST_17,13.44,00:00:00
2012-12-11,MEL_1,16.38,00:00:00
2012-12-11,OOST_16,13.54,00:00:00
2012-12-11,OOST_17,13.44,00:00:00
2012-12-13,MEL_1,16.0,00:00:00
2012-12-13,OOST_16,13.51,00:00:00
2012-12-13,OOST_17,13.42,00:00:00
2012-12-14,MEL_1,15.81,00:00:00
2012-12-14,OOST_16,13.53,00:00:00
2012-12-14,OOST_17,13.45,00:00:00
2012-12-19,MEL_1,16.91,00:00:00
2012-12-19,OOST_16,13.54,00:00:00
2012-12-19,OOST_17,13.37,00:00:00
2012-12-20,MEL_1,17.09,00:00:00
2012-12-20,OOST_16,13.6,00:00:00
2012-12-20,OOST_17,13.42,00:00:00
2012-12-22,MEL_1,16.8,00:00:00
2012-12-22,OOST_16,13.545,00:00:00
2012-12-22,OOST_17,13.375,00:00:00
